Wall time,Step,Value
1758741650.6803658,0,1168.6309814453125
1758741650.9345546,1,1183.809326171875
1758741651.2009828,2,1153.6661376953125
1758741651.4403272,3,1059.0985107421875
1758741651.7067451,4,1171.9296875
1758741651.9714525,5,1081.8438720703125
1758741652.2065465,6,1176.154296875
1758741652.485013,7,1110.70703125
1758741652.7415268,8,1032.153076171875
1758741653.0147116,9,1021.1529541015625
1758741653.2503822,10,985.0155639648438
1758741653.4912593,11,939.7008666992188
1758741653.7334056,12,1055.605712890625
1758741653.9615693,13,906.0870971679688
1758741654.207974,14,859.6551513671875
1758741654.44274,15,881.2642211914062
1758741654.6846907,16,845.0
1758741654.9245703,17,897.9117431640625
1758741655.1922753,18,790.1866455078125
1758741655.419655,19,807.277587890625
1758741655.6603909,20,793.112548828125
1758741655.8974922,21,846.9117431640625
1758741656.134301,22,790.8887329101562
1758741656.3703866,23,769.7141723632812
1758741656.5937085,24,701.7401733398438
1758741656.8137023,25,657.87060546875
1758741657.042826,26,684.336181640625
1758741657.264483,27,723.33984375
1758741657.524346,28,656.8908081054688
1758741657.7409003,29,700.1436157226562
1758741657.9671638,30,644.470458984375
1758741658.1938143,31,712.354736328125
1758741658.4266639,32,675.745849609375
1758741658.6524832,33,676.92626953125
1758741658.902237,34,690.8880615234375
1758741659.123553,35,612.93798828125
1758741659.3540323,36,683.877197265625
1758741659.593793,37,651.0422973632812
1758741659.8258436,38,688.0635986328125
1758741660.0514896,39,582.224365234375
1758741660.2938652,40,621.26904296875
1758741660.5180216,41,588.2858276367188
1758741660.7451007,42,688.6668090820312
1758741660.9745889,43,587.8631591796875
1758741661.1832538,44,616.5818481445312
1758741661.3972893,45,569.1829223632812
1758741661.6116264,46,558.5934448242188
1758741661.8197467,47,596.4085693359375
1758741662.0322323,48,573.8862915039062
1758741662.254301,49,598.05029296875
1758741662.481808,50,516.1715087890625
1758741662.7089782,51,582.0186767578125
1758741662.9273498,52,507.30047607421875
1758741663.1541722,53,537.0886840820312
1758741663.4214115,54,500.3560791015625
1758741663.6463013,55,518.9180908203125
1758741663.855432,56,555.5531005859375
1758741664.0752392,57,544.39111328125
1758741664.2869935,58,549.27685546875
1758741664.5084639,59,551.150634765625
1758741664.71902,60,525.5296630859375
1758741664.9402404,61,482.7283020019531
1758741665.1609523,62,518.4702758789062
1758741665.3741124,63,447.32452392578125
1758741665.5953248,64,500.0628662109375
1758741665.793432,65,472.4263916015625
1758741666.0056279,66,550.99462890625
1758741666.2265954,67,529.3675537109375
1758741666.4483287,68,402.7519226074219
1758741666.6675289,69,468.8533630371094
1758741666.862378,70,523.9281005859375
1758741667.0791576,71,448.806640625
1758741667.293393,72,484.5416259765625
1758741667.5157685,73,432.6318664550781
1758741667.7190814,74,501.52783203125
1758741667.9104202,75,444.438720703125
1758741668.134086,76,391.4951171875
1758741668.3355584,77,445.0832824707031
1758741668.5405,78,479.2425842285156
1758741668.753462,79,491.0701599121094
1758741668.9596224,80,419.42840576171875
1758741669.1642003,81,464.0662841796875
1758741669.3792427,82,453.9131164550781
1758741669.5955594,83,442.60540771484375
1758741669.79874,84,454.70159912109375
1758741670.0077322,85,470.55389404296875
1758741670.2168896,86,440.5216064453125
1758741670.4086876,87,412.20452880859375
1758741670.6254008,88,371.5359802246094
1758741670.8274448,89,518.2833251953125
1758741671.025198,90,398.9737243652344
1758741671.2349212,91,384.95379638671875
1758741671.4446104,92,437.48419189453125
1758741671.648861,93,420.428955078125
1758741671.8392363,94,430.13336181640625
1758741672.0366523,95,427.21722412109375
1758741672.2347724,96,465.88323974609375
1758741672.4274366,97,390.9861145019531
1758741672.628742,98,391.2475280761719
1758741672.826507,99,480.1471252441406
1758741673.014788,100,389.7219543457031
1758741673.2084236,101,441.20013427734375
1758741673.405443,102,451.4630126953125
1758741673.6249096,103,457.0619812011719
1758741673.8246427,104,458.73486328125
1758741674.0245929,105,475.1982727050781
1758741674.232671,106,408.6322021484375
1758741674.4334633,107,390.66644287109375
1758741674.615302,108,511.3758850097656
1758741674.8113964,109,483.1464538574219
1758741675.008552,110,459.6668701171875
1758741675.2151637,111,396.9626770019531
1758741675.402977,112,453.605712890625
1758741675.5955331,113,487.87823486328125
1758741675.792747,114,474.8896484375
1758741675.994561,115,390.70147705078125
1758741676.2225857,116,439.78875732421875
1758741676.3906393,117,466.3823547363281
1758741676.577353,118,415.665283203125
1758741676.7512815,119,371.9136047363281
1758741676.9336424,120,433.56756591796875
1758741677.1178863,121,460.63909912109375
1758741677.3203125,122,415.49224853515625
1758741677.5203595,123,445.82159423828125
1758741677.696566,124,370.5852355957031
1758741677.8863733,125,378.5133056640625
1758741678.0721936,126,414.046630859375
1758741678.2583184,127,356.8380126953125
1758741678.425584,128,419.56201171875
1758741678.61149,129,357.1521911621094
1758741678.7929175,130,426.16522216796875
1758741678.9765997,131,354.480712890625
1758741679.163318,132,367.9281005859375
1758741679.3487487,133,459.8271179199219
1758741679.5526438,134,423.2774658203125
1758741679.7287917,135,334.60406494140625
1758741679.8873348,136,348.51702880859375
1758741680.061443,137,370.67474365234375
1758741680.2406187,138,378.379638671875
1758741680.438431,139,368.0522766113281
1758741680.6250887,140,439.17095947265625
1758741680.8086529,141,430.62921142578125
1758741680.9831946,142,392.56939697265625
1758741681.1872668,143,380.10137939453125
1758741681.3678687,144,382.28729248046875
1758741681.558972,145,386.74615478515625
1758741681.7464266,146,352.527099609375
1758741681.9424713,147,360.87005615234375
1758741682.118466,148,317.40814208984375
1758741682.3174045,149,381.07281494140625
1758741682.4953146,150,337.9780578613281
1758741682.684513,151,310.212646484375
1758741682.8752272,152,350.19329833984375
1758741683.060378,153,355.76824951171875
1758741683.2433221,154,368.52392578125
1758741683.408811,155,360.20477294921875
1758741683.6095176,156,344.7130432128906
1758741683.818837,157,322.2568359375
1758741683.9926596,158,343.6705627441406
1758741684.16532,159,351.5486755371094
1758741684.3504825,160,336.32073974609375
1758741684.514095,161,302.60430908203125
1758741684.6961315,162,295.26611328125
1758741684.8694072,163,286.57257080078125
1758741685.0425386,164,365.55010986328125
1758741685.2216656,165,349.00164794921875
1758741685.3988566,166,341.18994140625
1758741685.5935345,167,323.47564697265625
1758741685.7627845,168,369.11199951171875
1758741685.9024246,169,316.82086181640625
1758741686.0524716,170,361.0586853027344
1758741686.2175426,171,330.221435546875
1758741686.3872051,172,325.4591064453125
1758741686.5564055,173,267.7392272949219
1758741686.7236245,174,259.75482177734375
1758741686.8902833,175,306.1256103515625
1758741687.0729954,176,333.9417724609375
1758741687.2436664,177,352.7628173828125
1758741687.414302,178,310.7811279296875
1758741687.601239,179,323.35894775390625
1758741687.7759342,180,339.0783996582031
1758741687.9455612,181,320.8544616699219
1758741688.1272712,182,331.94305419921875
1758741688.2994232,183,310.004150390625
1758741688.4752016,184,298.3493347167969
1758741688.6406772,185,313.9371032714844
1758741688.8148234,186,245.79104614257812
1758741689.0005906,187,262.11328125
1758741689.1743085,188,264.5760803222656
1758741689.3434799,189,294.7502746582031
1758741689.5080042,190,302.2059326171875
1758741689.6857717,191,290.2225341796875
1758741689.8582454,192,263.62225341796875
1758741690.0334632,193,298.14263916015625
1758741690.2106593,194,308.16796875
1758741690.3905737,195,255.7424774169922
1758741690.564348,196,334.33782958984375
1758741690.7245235,197,255.33255004882812
1758741690.8866575,198,292.2552490234375
1758741691.0502882,199,262.90264892578125
1758741691.208424,200,245.97230529785156
1758741691.372566,201,274.5978698730469
